term,tf,df,idf
whose,48,42,4.483741430643445
techniques,48,42,4.483741430643445
integration,48,42,4.483741430643445
related,46,42,4.483741430643445
equal,44,42,4.483741430643445
presents,43,42,4.483741430643445
introduced,43,42,4.483741430643445
following,43,42,4.483741430643445
injection,124,41,4.507271928053639
trailing,72,41,4.507271928053639
supported,63,41,4.507271928053639
span,58,41,4.507271928053639
combination,57,41,4.507271928053639
structures,56,41,4.507271928053639
moving,53,41,4.507271928053639
upper,52,41,4.507271928053639
varying,48,41,4.507271928053639
cent,46,41,4.507271928053639
many,45,41,4.507271928053639
involved,44,41,4.507271928053639
latter,43,41,4.507271928053639
indicates,43,41,4.507271928053639
considerable,42,41,4.507271928053639
wake,92,40,4.5313694796326995
damping,72,40,4.5313694796326995
gradients,59,40,4.5313694796326995
dependent,54,40,4.5313694796326995
showed,53,40,4.5313694796326995
direct,52,40,4.5313694796326995
sections,51,40,4.5313694796326995
difference,50,40,4.5313694796326995
decrease,49,40,4.5313694796326995
far,48,40,4.5313694796326995
relative,47,40,4.5313694796326995
degree,47,40,4.5313694796326995
detailed,45,40,4.5313694796326995
fixed,45,40,4.5313694796326995
suitable,43,40,4.5313694796326995
together,42,40,4.5313694796326995
occurs,42,40,4.5313694796326995
simplified,42,40,4.5313694796326995
expressed,40,40,4.5313694796326995
magnetic,103,39,4.556062092223071
separated,89,39,4.556062092223071
entry,77,39,4.556062092223071
vehicle,71,39,4.556062092223071
helium,68,39,4.556062092223071
chord,66,39,4.556062092223071
internal,59,39,4.556062092223071
simply,59,39,4.556062092223071
solid,58,39,4.556062092223071
authors,53,39,4.556062092223071
strong,53,39,4.556062092223071
rise,53,39,4.556062092223071
classical,51,39,4.556062092223071
pattern,50,39,4.556062092223071
short,48,39,4.556062092223071
ordinary,45,39,4.556062092223071
proposed,45,39,4.556062092223071
computed,44,39,4.556062092223071
components,44,39,4.556062092223071
considerations,43,39,4.556062092223071
30,43,39,4.556062092223071
limited,42,39,4.556062092223071
larger,42,39,4.556062092223071
useful,40,39,4.556062092223071
briefly,40,39,4.556062092223071
slightly,39,39,4.556062092223071
finally,39,39,4.556062092223071
lifting,55,38,4.58137990020736
re,52,38,4.58137990020736
gases,50,38,4.58137990020736
effective,50,38,4.58137990020736
upstream,48,38,4.58137990020736
factors,44,38,4.58137990020736
prediction,43,38,4.58137990020736
assuming,41,38,4.58137990020736
vary,41,38,4.58137990020736
essentially,40,38,4.58137990020736
nozzles,64,37,4.607355386610621
12,56,37,4.607355386610621
generalized,50,37,4.607355386610621
basic,49,37,4.607355386610621
limit,48,37,4.607355386610621
equivalent,42,37,4.607355386610621
rapidly,41,37,4.607355386610621
conventional,40,37,4.607355386610621
established,38,37,4.607355386610621
typical,38,37,4.607355386610621
concluded,38,37,4.607355386610621
recently,38,37,4.607355386610621
therefore,37,37,4.607355386610621
combinations,55,36,4.634023633692783
formulas,55,36,4.634023633692783
transformation,55,36,4.634023633692783
deflections,52,36,4.634023633692783
weight,50,36,4.634023633692783
asymptotic,46,36,4.634023633692783
yield,44,36,4.634023633692783
attention,39,36,4.634023633692783
comparisons,39,36,4.634023633692783
respectively,37,36,4.634023633692783
considerably,36,36,4.634023633692783
usual,36,36,4.634023633692783
panels,95,35,4.661422607880898
sound,76,35,4.661422607880898
delta,58,35,4.661422607880898
instability,57,35,4.661422607880898
modes,55,35,4.661422607880898
vehicles,55,35,4.661422607880898
transient,53,35,4.661422607880898
structural,53,35,4.661422607880898
curve,52,35,4.661422607880898
off,50,35,4.661422607880898
chemical,49,35,4.661422607880898
spherical,48,35,4.661422607880898
semi,44,35,4.661422607880898
unity,44,35,4.661422607880898
represented,40,35,4.661422607880898
subject,40,35,4.661422607880898
moderate,39,35,4.661422607880898
reasonable,39,35,4.661422607880898
additional,37,35,4.661422607880898
panel,109,34,4.6895934848475935
creep,100,34,4.6895934848475935
turbulence,64,34,4.6895934848475935
center,59,34,4.6895934848475935
ft,59,34,4.6895934848475935
radial,50,34,4.6895934848475935
altitude,49,34,4.6895934848475935
average,45,34,4.6895934848475935
reference,43,34,4.6895934848475935
size,42,34,4.6895934848475935
major,39,34,4.6895934848475935
concerned,39,34,4.6895934848475935
involving,38,34,4.6895934848475935
expected,37,34,4.6895934848475935
rather,36,34,4.6895934848475935
directly,35,34,4.6895934848475935
vortex,91,33,4.718581021720846
thrust,80,33,4.718581021720846
vorticity,55,33,4.718581021720846
strain,54,33,4.718581021720846
walls,54,33,4.718581021720846
enthalpy,53,33,4.718581021720846
mode,53,33,4.718581021720846
oscillating,48,33,4.718581021720846
end,45,33,4.718581021720846
real,44,33,4.718581021720846
swept,43,33,4.718581021720846
pointed,41,33,4.718581021720846
evaluated,37,33,4.718581021720846
few,37,33,4.718581021720846
yields,37,33,4.718581021720846
depends,36,33,4.718581021720846
caused,35,33,4.718581021720846
possibility,35,33,4.718581021720846
preliminary,34,33,4.718581021720846
nature,33,33,4.718581021720846
diffusion,51,32,4.748433984870527
conducting,48,32,4.748433984870527
wedge,47,32,4.748433984870527
loaded,42,32,4.748433984870527
produced,41,32,4.748433984870527
rapid,41,32,4.748433984870527
curved,41,32,4.748433984870527
distributed,41,32,4.748433984870527
phenomena,38,32,4.748433984870527
concept,38,32,4.748433984870527
differences,37,32,4.748433984870527
published,35,32,4.748433984870527
karman,35,32,4.748433984870527
agree,33,32,4.748433984870527
actual,33,32,4.748433984870527
mathematical,33,32,4.748433984870527
entire,32,32,4.748433984870527
height,65,31,4.7792056435372805
rocket,62,31,4.7792056435372805
clamped,59,31,4.7792056435372805
airfoils,53,31,4.7792056435372805
moments,49,31,4.7792056435372805
cooled,46,31,4.7792056435372805
lateral,45,31,4.7792056435372805
full,44,31,4.7792056435372805
level,42,31,4.7792056435372805
front,40,31,4.7792056435372805
slope,39,31,4.7792056435372805
outside,36,31,4.7792056435372805
neglected,36,31,4.7792056435372805
negligible,35,31,4.7792056435372805
nearly,35,31,4.7792056435372805
limiting,34,31,4.7792056435372805
integrated,33,31,4.7792056435372805
features,33,31,4.7792056435372805
treatment,33,31,4.7792056435372805
governing,32,31,4.7792056435372805
description,32,31,4.7792056435372805
closely,32,31,4.7792056435372805
vibration,59,30,4.810954341851861
testing,51,30,4.810954341851861
elliptic,47,30,4.810954341851861
tubes,46,30,4.810954341851861
nosed,45,30,4.810954341851861
columns,43,30,4.810954341851861
disturbance,41,30,4.810954341851861
tunnels,40,30,4.810954341851861
fully,38,30,4.810954341851861
empirical,36,30,4.810954341851861
amount,36,30,4.810954341851861
perfect,36,30,4.810954341851861
11,36,30,4.810954341851861
estimate,35,30,4.810954341851861
knowledge,33,30,4.810954341851861
quite,33,30,4.810954341851861
restricted,32,30,4.810954341851861
least,31,30,4.810954341851861
numerically,30,30,4.810954341851861
brief,30,30,4.810954341851861
ground,81,29,4.843744164674852
noise,80,29,4.843744164674852
porous,51,29,4.843744164674852
deformation,46,29,4.843744164674852
continuous,45,29,4.843744164674852
uniformly,43,29,4.843744164674852
symmetrical,39,29,4.843744164674852
characteristic,36,29,4.843744164674852
varies,35,29,4.843744164674852
von,35,29,4.843744164674852
60,35,29,4.843744164674852
parts,33,29,4.843744164674852
estimated,33,29,4.843744164674852
formulation,32,29,4.843744164674852
defined,32,29,4.843744164674852
reduce,32,29,4.843744164674852
fact,31,29,4.843744164674852
phenomenon,31,29,4.843744164674852
conclusion,31,29,4.843744164674852
reported,31,29,4.843744164674852
depend,30,29,4.843744164674852
exist,29,29,4.843744164674852
demonstrated,29,29,4.843744164674852
way,29,29,4.843744164674852
exit,65,28,4.877645716350533
convection,54,28,4.877645716350533
airplane,47,28,4.877645716350533
formulae,45,28,4.877645716350533
charts,43,28,4.877645716350533
disturbances,43,28,4.877645716350533
heated,42,28,4.877645716350533
naca,34,28,4.877645716350533
predicting,34,28,4.877645716350533
failure,33,28,4.877645716350533
straight,33,28,4.877645716350533
stationary,33,28,4.877645716350533
generated,33,28,4.877645716350533
quantities,32,28,4.877645716350533
processes,32,28,4.877645716350533
partial,32,28,4.877645716350533
correlated,32,28,4.877645716350533
according,31,28,4.877645716350533
obtaining,31,28,4.877645716350533
reasonably,31,28,4.877645716350533
particularly,31,28,4.877645716350533
affected,30,28,4.877645716350533
performed,30,28,4.877645716350533
throughout,30,28,4.877645716350533
analogy,30,28,4.877645716350533
attempt,29,28,4.877645716350533
evidence,28,28,4.877645716350533
blade,58,27,4.912737036161803
dissociation,51,27,4.912737036161803
step,48,27,4.912737036161803
optimum,41,27,4.912737036161803
satellite,41,27,4.912737036161803
distances,38,27,4.912737036161803
hot,37,27,4.912737036161803
highly,37,27,4.912737036161803
attached,34,27,4.912737036161803
tables,34,27,4.912737036161803
behaviour,34,27,4.912737036161803
plan,34,27,4.912737036161803
50,31,27,4.912737036161803
operating,31,27,4.912737036161803
sufficiently,30,27,4.912737036161803
designed,30,27,4.912737036161803
provides,30,27,4.912737036161803
produce,29,27,4.912737036161803
consists,29,27,4.912737036161803
light,29,27,4.912737036161803
theoretically,28,27,4.912737036161803
describes,28,27,4.912737036161803
encountered,27,27,4.912737036161803
usually,27,27,4.912737036161803
sphere,53,26,4.9491046803326775
hemisphere,52,26,4.9491046803326775
blunted,47,26,4.9491046803326775
thermodynamic,39,26,4.9491046803326775
recovery,38,26,4.9491046803326775
take,34,26,4.9491046803326775
40,34,26,4.9491046803326775
analytic,34,26,4.9491046803326775
negative,33,26,4.9491046803326775
circumferential,33,26,4.9491046803326775
procedures,31,26,4.9491046803326775
symmetry,30,26,4.9491046803326775
inch,30,26,4.9491046803326775
fundamental,30,26,4.9491046803326775
25,29,26,4.9491046803326775
beyond,28,26,4.9491046803326775
closed,28,26,4.9491046803326775
little,27,26,4.9491046803326775
laboratory,27,26,4.9491046803326775
purposes,26,26,4.9491046803326775
become,26,26,4.9491046803326775
roughness,108,25,4.986845008315525
yaw,60,25,4.986845008315525
tip,53,25,4.986845008315525
plastic,49,25,4.986845008315525
spanwise,42,25,4.986845008315525
rigid,39,25,4.986845008315525
compressibility,37,25,4.986845008315525
operation,36,25,4.986845008315525
heats,35,25,4.986845008315525
displacements,34,25,4.986845008315525
decreased,33,25,4.986845008315525
compressive,33,25,4.986845008315525
mechanism,33,25,4.986845008315525
requirements,33,25,4.986845008315525
thick,33,25,4.986845008315525
atmospheric,33,25,4.986845008315525
pure,32,25,4.986845008315525
located,32,25,4.986845008315525
langley,30,25,4.986845008315525
class,30,25,4.986845008315525
component,29,25,4.986845008315525
extent,29,25,4.986845008315525
100,28,25,4.986845008315525
cause,27,25,4.986845008315525
do,27,25,4.986845008315525
arising,27,25,4.986845008315525
hence,27,25,4.986845008315525
validity,27,25,4.986845008315525
modification,27,25,4.986845008315525
greatly,27,25,4.986845008315525
observations,27,25,4.986845008315525
predict,27,25,4.986845008315525
illustrate,26,25,4.986845008315525
smaller,26,25,4.986845008315525
down,26,25,4.986845008315525
achieved,25,25,4.986845008315525
conclusions,25,25,4.986845008315525
applying,25,25,4.986845008315525
afterbody,48,24,5.0260657214688065
relaxation,40,24,5.0260657214688065
reaction,38,24,5.0260657214688065
ideal,37,24,5.0260657214688065
stokes,37,24,5.0260657214688065
growth,33,24,5.0260657214688065
prescribed,33,24,5.0260657214688065
error,32,24,5.0260657214688065
computer,31,24,5.0260657214688065
estimates,30,24,5.0260657214688065
evaluation,29,24,5.0260657214688065
vibrations,29,24,5.0260657214688065
initially,29,24,5.0260657214688065
simultaneous,28,24,5.0260657214688065
becomes,28,24,5.0260657214688065
adjacent,27,24,5.0260657214688065
smooth,27,24,5.0260657214688065
review,27,24,5.0260657214688065
aerodynamics,26,24,5.0260657214688065
view,26,24,5.0260657214688065
concerning,26,24,5.0260657214688065
schlieren,26,24,5.0260657214688065
significance,25,24,5.0260657214688065
lead,25,24,5.0260657214688065
illustrated,25,24,5.0260657214688065
ranges,25,24,5.0260657214688065
appear,24,24,5.0260657214688065
