term,tf,df,idf
reduced,1260,931,3.856482539033783
over,1067,922,3.8661861192165223
total,1279,916,3.8727078814629095
rat,1704,910,3.879272456459416
20,1142,906,3.883672903604238
mechanisms,1101,905,3.8847760476763953
following,1163,900,3.8903100961110364
conclusion,898,893,3.8981095785458604
form,1101,892,3.8992287728428754
possible,964,885,3.9070984031142935
mouse,1653,884,3.9082277087114448
decreased,1149,884,3.9082277087114448
15,1187,879,3.913893446247122
under,1071,879,3.913893446247122
demonstrate,931,874,3.91959146736176
primary,1345,868,3.9264722284539824
suggesting,948,865,3.9299304451569395
small,1122,861,3.9345600830556813
chromosome,2096,859,3.936882964471821
lower,1088,858,3.938046431735119
based,981,855,3.9415449775776326
formation,1290,852,3.9450558062276952
therapy,1533,846,3.95211465906732
case,1162,846,3.95211465906732
kinase,2289,839,3.9604134618820153
cellular,1126,835,3.965186740634673
tissue,1363,827,3.974802199334115
large,1012,823,3.9796448238099025
single,995,822,3.9808591530423043
site,1228,815,3.9894009987552677
treated,1133,813,3.991854987716834
various,914,807,3.999253295198279
method,1172,803,4.004216084540408
11,1214,801,4.00670674585286
isolated,997,801,4.00670674585286
background,817,798,4.0104544079531
inhibition,1287,797,4.011706756269565
differences,1026,797,4.011706756269565
characterized,854,790,4.02051738595172
less,929,788,4.0230490328735
result,865,788,4.0230490328735
provide,836,787,4.024317263861495
highly,872,784,4.028131635936965
containing,983,779,4.034521434035737
developed,885,779,4.034521434035737
association,1089,778,4.035804307848626
measured,919,777,4.037088829540982
50,937,767,4.050025620571702
any,858,767,4.050025620571702
transcription,1322,766,4.051328552352118
against,1125,766,4.051328552352118
mutant,1268,763,4.055247564552854
multiple,952,762,4.056557322434918
ii,1535,761,4.057868798032728
days,1281,754,4.06709760447035
14,1070,754,4.06709760447035
suggests,792,754,4.06709760447035
30,955,753,4.068422985711418
mrna,1859,752,4.06975012591948
domain,1545,752,4.06975012591948
essential,1033,743,4.081774318886282
mean,1196,741,4.084466110551993
therefore,777,741,4.084466110551993
membrane,1472,740,4.085814728423287
caused,876,740,4.085814728423287
tumors,1705,739,4.087165167521158
diagnosis,1101,739,4.087165167521158
population,1084,739,4.087165167521158
described,807,734,4.093944854506537
induction,1158,732,4.096669651832723
least,792,726,4.104888876185855
apoptosis,2311,724,4.1076436988647
positive,1041,724,4.1076436988647
enzyme,1263,723,4.1090239613336585
recently,758,720,4.113176216434425
conditions,928,718,4.115953995998328
lines,1447,713,4.1229323913797895
loss,1073,713,4.1229323913797895
active,970,709,4.128550383684013
process,877,709,4.128550383684013
furthermore,738,709,4.128550383684013
sites,1082,708,4.129959827187247
inhibitor,994,707,4.131371260025654
amino,1106,704,4.135617550907106
test,1013,697,4.145596250957002
play,730,687,4.160026515786031
recent,755,677,4.174668065778979
approximately,856,676,4.1761440808070995
line,1007,675,4.17762227767641
subjects,1373,673,4.180585242807068
survival,1288,672,4.182070024074647
interaction,998,672,4.182070024074647
receptors,1267,669,4.186537641334363
objective,707,668,4.188031293591147
analyzed,747,667,4.189527180182729
signaling,1203,665,4.192525683178985
acute,1200,664,4.19402831306352
death,1304,662,4.197040363533512
target,907,659,4.201575518698903
inhibited,894,659,4.201575518698903
ability,825,658,4.203091819216867
does,740,657,4.204610422394057
nerve,1682,656,4.206131335234764
period,834,654,4.209180118084122
part,743,652,4.2122382244429435
five,784,651,4.213770791792721
structure,935,647,4.2199246573671
signal,900,644,4.224565036923602
cause,738,644,4.224565036923602
before,829,643,4.226116627615021
tested,741,643,4.226116627615021
reaction,842,642,4.227670629481755
absence,790,642,4.227670629481755
controls,1021,640,4.230785896798704
dependent,765,636,4.237045698147211
pathways,878,634,4.240190354826683
identification,746,634,4.240190354826683
production,1083,633,4.241766399282149
13,867,629,4.248095534333796
functions,751,629,4.248095534333796
differentiation,1124,628,4.249684097018934
frequency,954,627,4.251275187251176
very,702,625,4.254464982619275
resulted,717,622,4.259268834931921
tissues,872,620,4.262484271785896
lung,1761,619,4.264095875680237
second,735,619,4.264095875680237
brain,1200,618,4.265710081034778
16,846,617,4.267326896261684
direct,731,615,4.270568390185854
regions,890,613,4.273820425572232
types,736,611,4.2770830712070484
24,779,609,4.280356396552017
concentrations,1005,608,4.281997086009477
concentration,951,608,4.281997086009477
produced,766,607,4.283640471753207
25,784,606,4.285286562659876
distinct,718,603,4.2902411557845594
identify,653,600,4.295220419184167
18,801,599,4.296885698503228
if,698,598,4.298553755603925
mg,1431,595,4.3035746866540245
via,726,594,4.305253948173744
decrease,751,588,4.315389170067787
mediated,693,588,4.315389170067787
evaluated,652,588,4.315389170067787
review,686,586,4.318790533891278
activated,860,585,4.320495564142362
plasma,1254,580,4.329064596867463
independent,686,578,4.332512876146379
being,635,575,4.337707693023483
greater,734,574,4.339445312922024
out,637,569,4.348178992890778
since,631,569,4.348178992890778
pattern,747,568,4.349934919593044
seen,663,568,4.349934919593044
consistent,622,567,4.351693934998223
animals,913,566,4.353456049991623
followed,624,566,4.353456049991623
sequences,854,565,4.355221275516191
purpose,590,565,4.355221275516191
100,752,564,4.356989622572934
effective,710,564,4.356989622572934
chronic,1028,559,4.36587856999018
17,779,559,4.36587856999018
chain,743,559,4.36587856999018
severe,757,558,4.367665880564275
additional,623,558,4.367665880564275
antibodies,892,555,4.373047059468792
previous,601,553,4.376650666972091
established,603,552,4.37845735219704
suggested,574,552,4.37845735219704
responses,895,551,4.3802673074422795
up,613,551,4.3802673074422795
distribution,776,550,4.38208054456646
regulated,686,550,4.38208054456646
coli,1159,547,4.387540066771359
negative,747,547,4.387540066771359
support,634,547,4.387540066771359
indicated,606,547,4.387540066771359
synthesis,851,546,4.389366551297393
range,696,545,4.391196377974469
derived,628,545,4.391196377974469
difference,669,544,4.39302955905613
epithelial,1270,543,4.394866106863432
change,702,543,4.394866106863432
likely,614,540,4.4003960748728925
current,693,539,4.402246214161055
investigate,552,538,4.404099782810377
months,899,537,4.40595679355759
exposure,882,537,4.40595679355759
relationship,657,537,4.40595679355759
damage,1090,536,4.40781725921051
40,648,536,4.40781725921051
serum,1149,535,4.409681192648573
critical,613,534,4.411548606823368
nuclear,914,533,4.4134195147591795
infection,1057,532,4.415293929553529
health,1112,530,4.419053332477436
surface,773,529,4.420938347173207
syndrome,998,528,4.422826921861075
general,634,528,4.422826921861075
influence,606,527,4.424719070013113
occurred,607,526,4.426614805178012
assessed,607,526,4.426614805178012
assay,749,525,4.428514140981664
experiments,608,525,4.428514140981664
approach,654,523,4.4323236693983326
interactions,756,522,4.434233889654451
useful,557,521,4.436147765836736
adult,828,520,4.438065311966008
six,638,519,4.4399865421439015
fibrosis,1289,518,4.441911470553485
order,563,518,4.441911470553485
indicating,555,518,4.441911470553485
together,531,517,4.443840111459892
antibody,941,516,4.445772479210945
cycle,893,514,4.449648453055638
models,821,514,4.449648453055638
drug,790,514,4.449648453055638
rats,1449,513,4.45159208826421
intracellular,748,511,4.455490728679866
affected,623,511,4.455490728679866
day,951,510,4.45744576351567
stimulation,867,510,4.45744576351567
characterization,562,510,4.45744576351567
dose,894,509,4.459404628001003
phenotype,695,508,4.461367337168852
samples,814,507,4.4633339061408925
basis,546,506,4.465304350128191
carcinoma,1015,505,4.467278684431909
presented,550,505,4.467278684431909
comparison,548,505,4.467278684431909
resulting,558,504,4.469256924444014
chromosomal,928,502,4.473225183619635
central,641,502,4.473225183619635
upon,588,499,4.479207255297183
responsible,550,497,4.483215276694722
information,670,496,4.485225327622746
increases,630,496,4.485225327622746
events,637,495,4.4872394269944476
induce,606,495,4.4872394269944476
action,671,494,4.489257591150684
do,536,494,4.489257591150684
wild-type,754,493,4.491279836531453
agents,765,492,4.493306179676685
relative,611,492,4.493306179676685
considered,526,492,4.493306179676685
reduction,651,491,4.495336637227066
enhanced,576,491,4.495336637227066
yeast,818,489,4.499409962614703
appears,523,488,4.501452864244502
resistance,1001,487,4.503499947866227
features,589,487,4.503499947866227
22,694,486,4.505551230636785
repair,1500,485,4.50760672981888
05,794,484,4.509666462781891
detection,696,483,4.511730447002742
fusion,923,482,4.513798700066801
research,665,481,4.515871239668774
conserved,622,481,4.515871239668774
design,529,481,4.515871239668774
promoter,1051,480,4.517948083613613
deletion,697,480,4.517948083613613
confirmed,507,480,4.517948083613613
cystic,1207,477,4.524204621227918
escherichia,666,477,4.524204621227918
sensitivity,717,476,4.526298862831033
care,981,475,4.528397499487955
ratio,733,475,4.528397499487955
evaluation,573,475,4.528397499487955
located,536,474,4.530500549684733
pressure,1102,473,4.532608032024298
combination,653,473,4.532608032024298
complete,562,473,4.532608032024298
old,574,472,4.534719965227442
moreover,491,472,4.534719965227442
species,729,471,4.5368363681338195
proliferation,778,470,4.538957259702957
regulator,596,470,4.538957259702957
analyses,548,470,4.538957259702957
made,516,470,4.538957259702957
properties,611,469,4.54108265901527
structural,597,469,4.54108265901527
forms,595,469,4.54108265901527
variety,486,467,4.545347057801727
release,876,466,4.547486096050477
administration,707,466,4.547486096050477
21,616,464,4.551777948132019
therapeutic,597,464,4.551777948132019
phosphorylation,1127,463,4.553930801493119
phase,753,463,4.553930801493119
heart,938,461,4.558250462637636
weeks,770,460,4.560417310722726
activities,629,459,4.5625888642362336
even,493,459,4.5625888642362336
transcriptional,733,457,4.56694616960519
situ,591,457,4.56694616960519
increasing,536,457,4.56694616960519
values,659,456,4.569131962825169
regulatory,619,456,4.569131962825169
neurons,1245,455,4.571322544204988
members,594,455,4.571322544204988
given,567,455,4.571322544204988
encoding,552,454,4.573517934768423
conclude,458,454,4.573517934768423
culture,640,453,4.575718155678026
included,517,450,4.582348014216696
cdna,698,449,4.584567770955009
19,563,449,4.584567770955009
95,877,448,4.58679246597712
diseases,590,448,4.58679246597712
rapid,538,448,4.58679246597712
hybridization,615,447,4.589022121304389
translocation,909,446,4.591256759105805
per,653,445,4.59349640169931
systems,592,445,4.59349640169931
affect,498,445,4.59349640169931
individuals,661,444,4.595741071553134
mammalian,651,444,4.595741071553134
60,522,444,4.595741071553134
allele,958,443,4.59799079128715
overall,520,442,4.600245583674239
liver,1000,441,4.602505471641676
combined,566,441,4.602505471641676
available,495,441,4.602505471641676
technique,596,438,4.609315940644203
involving,549,438,4.609315940644203
women,1037,435,4.61617311037034
understanding,484,435,4.61617311037034
correlated,541,434,4.61846932263069
outcome,606,433,4.620770819618969
involvement,503,432,4.623077625716885
initial,521,430,4.627707263615626
often,478,429,4.630030145031766
manner,455,429,4.630030145031766
beta,1165,428,4.632358434791358
status,632,427,4.634692158137577
processes,495,427,4.634692158137577
contribute,463,427,4.634692158137577
genomic,653,426,4.63703134049075
developing,593,426,4.63703134049075
induces,509,426,4.63703134049075
characteristics,502,426,4.63703134049075
antigen,759,425,4.639376007450004
body,712,425,4.639376007450004
product,529,425,4.639376007450004
domains,697,423,4.644081898487417
them,468,423,4.644081898487417
male,631,422,4.646443174673097
size,593,422,4.646443174673097
disorders,710,421,4.6488100396833625
peptide,798,420,4.651182520036993
now,443,419,4.65356064244196
sensitive,522,418,4.655944433797236
state,511,418,4.655944433797236
necessary,448,418,4.655944433797236
progression,593,415,4.663130093458111
biological,512,415,4.663130093458111
evaluate,433,415,4.663130093458111
describe,432,415,4.663130093458111
mutants,728,414,4.665536833488677
experimental,523,414,4.665536833488677
directly,453,414,4.665536833488677
p53,2267,413,4.6679493798940594
virus,892,413,4.6679493798940594
transmembrane,557,412,4.670367760758341
surgery,761,411,4.672792004369848
drugs,676,411,4.672792004369848
main,463,411,4.672792004369848
individual,479,410,4.6752221392231395
discussed,440,409,4.677658194021021
plays,430,409,4.677658194021021
ml,878,407,4.682548179315212
molecules,612,407,4.682548179315212
value,530,406,4.68500216827678
localized,466,406,4.68500216827678
generated,449,406,4.68500216827678
abnormalities,604,405,4.687462194117642
area,564,405,4.687462194117642
alpha,1193,404,4.689928286612835
peripheral,574,404,4.689928286612835
hypothesis,463,404,4.689928286612835
occur,431,403,4.692400475758225
seven,478,402,4.694878791772691
recombinant,657,401,4.697363265100353
rates,591,401,4.697363265100353
animal,501,401,4.697363265100353
strong,449,400,4.699853926412805
corresponding,446,399,4.702350806611392
incidence,597,398,4.704853936829511
neuronal,690,396,4.709879073032184
acids,615,396,4.709879073032184
patterns,548,396,4.709879073032184
children,1050,395,4.712401142464894
lesions,722,393,4.717464444421441
weight,651,393,4.717464444421441
causes,445,393,4.717464444421441
products,498,392,4.720005741850113
alone,511,391,4.722553513928911
strongly,412,391,4.722553513928911
components,481,390,4.725107793734009
altered,466,390,4.725107793734009
despite,414,390,4.725107793734009
able,440,389,4.727668614595682
particular,418,389,4.727668614595682
contains,441,387,4.732810014096101
defined,430,387,4.732810014096101
inhibitors,611,386,4.735390660689593
provides,405,386,4.735390660689593
muscle,859,385,4.7379779842545435
locus,620,385,4.7379779842545435
still,402,385,4.7379779842545435
skin,998,382,4.745780364538728
overexpression,573,381,4.748394745112799
healthy,554,380,4.751015978592673
localization,552,380,4.751015978592673
extracellular,531,380,4.751015978592673
another,398,380,4.751015978592673
occurs,407,379,4.753644100998943
min,713,378,4.756279148636948
polymerase,476,378,4.756279148636948
better,407,378,4.756279148636948
hypertension,1424,377,4.7589211580997866
aim,382,377,4.7589211580997866
unknown,399,375,4.76422621032948
cultured,512,373,4.769559556304842
implicated,395,373,4.769559556304842
medical,525,372,4.7722369340755595
marker,478,372,4.7722369340755595
include,406,371,4.7749214994462275
rna,726,370,4.777613291111939
mass,596,370,4.777613291111939
shows,394,370,4.777613291111939
markers,557,369,4.780312348081104
lack,409,369,4.780312348081104
component,462,368,4.7830187096788475
correlation,461,368,4.7830187096788475
encodes,429,368,4.7830187096788475
techniques,442,367,4.785732415550443
taken,386,367,4.785732415550443
specifically,392,366,4.788453505664804
much,389,366,4.788453505664804
rare,412,365,4.791182020318008
putative,452,364,4.793918000136883
leading,397,364,4.793918000136883
alterations,510,363,4.796661486082634
so,382,363,4.796661486082634
elevated,500,362,4.799412519454524
requires,392,362,4.799412519454524
bone,872,361,4.802171141893604
90,432,361,4.802171141893604
subsequent,392,361,4.802171141893604
residues,540,360,4.804937395386494
murine,529,360,4.804937395386494
surgical,527,360,4.804937395386494
expressing,498,360,4.804937395386494
few,380,360,4.804937395386494
degrees,724,359,4.807711322269219
efficacy,527,359,4.807711322269219
selected,402,359,4.807711322269219
stimulated,468,358,4.810492965231095
cftr,1438,357,4.813282367318674
chromosomes,638,357,4.813282367318674
long,432,357,4.813282367318674
relatively,379,357,4.813282367318674
ngf,1746,356,4.816079571939735
endogenous,468,356,4.816079571939735
renal,866,355,4.818884622867344
selective,454,355,4.818884622867344
limited,375,355,4.818884622867344
mm,739,354,4.821697564243959
importance,372,354,4.821697564243959
member,395,353,4.824518440585599
kg,838,352,4.827347296786078
stage,599,352,4.827347296786078
follow-up,525,352,4.827347296786078
01,511,352,4.827347296786078
disorder,522,351,4.830184178121277
times,446,350,4.833029130253509
vascular,647,348,4.8387434315169475
point,425,348,4.8387434315169475
exhibited,386,348,4.8387434315169475
little,361,348,4.8387434315169475
kidney,791,347,4.8416128739449
management,499,347,4.8416128739449
inhibit,437,347,4.8416128739449
pathogenesis,417,347,4.8416128739449
assess,365,347,4.8416128739449
work,418,346,4.844490573772515
stable,410,346,4.844490573772515
lead,404,346,4.844490573772515
flow,617,345,4.847376578661651
70,421,345,4.847376578661651
key,363,345,4.847376578661651
failure,527,344,4.850270936688014
series,412,344,4.850270936688014
end,407,344,4.850270936688014
extent,383,344,4.850270936688014
rather,356,344,4.850270936688014
23,414,343,4.853173696345976
sample,440,342,4.856084906553434
symptoms,566,341,4.859004616656769
proposed,361,341,4.859004616656769
accumulation,533,340,4.861932876435858
differential,409,340,4.861932876435858
substrate,504,339,4.864869736109167
specificity,456,339,4.864869736109167
remains,344,339,4.864869736109167
nucleotide,495,338,4.867815246338925
short,431,338,4.867815246338925
rearrangements,801,337,4.870769458236356
procedure,445,337,4.870769458236356
roles,380,337,4.870769458236356
examination,395,336,4.873732423367013
cloned,381,336,4.873732423367013
like,381,336,4.873732423367013
provided,358,336,4.873732423367013
screening,560,335,4.87670419375617
immune,496,335,4.87670419375617
frequently,365,335,4.87670419375617
malignant,530,334,4.879684821894308
free,518,334,4.879684821894308
assays,428,334,4.879684821894308
paper,367,333,4.882674360742675
finally,334,333,4.882674360742675
eight,386,331,4.8886803848028855
structures,455,330,4.891696978342312
purified,438,330,4.891696978342312
prior,390,330,4.891696978342312
appear,353,330,4.891696978342312
stress,653,329,4.894722699258848
probably,351,329,4.894722699258848
especially,350,329,4.894722699258848
elements,567,328,4.897757602954003
suppressor,453,328,4.897757602954003
frequent,374,328,4.897757602954003
contain,353,328,4.897757602954003
transport,593,327,4.900801745335231
inhibitory,435,327,4.900801745335231
enzymes,492,326,4.903855182822121
translocations,722,325,4.906917972352667
assessment,408,325,4.906917972352667
degradation,592,324,4.909990171389637
strains,649,323,4.9130718379270455
genome,461,323,4.9130718379270455
express,388,323,4.9130718379270455
degree,378,322,4.916163030496717
examine,329,322,4.916163030496717
element,563,321,4.919263808174966
complexes,481,321,4.919263808174966
identical,373,321,4.919263808174966
carried,348,321,4.919263808174966
pcr,532,320,4.922374230589359
hospital,501,320,4.922374230589359
transduction,430,320,4.922374230589359
potent,403,320,4.922374230589359
improved,392,320,4.922374230589359
particularly,338,320,4.922374230589359
001,512,319,4.9254943579256025
long-term,440,318,4.928624250934529
parameters,435,318,4.928624250934529
applied,371,318,4.928624250934529
signals,417,317,4.931763970939198
versus,516,316,4.934913579842094
populations,418,316,4.934913579842094
led,339,315,4.938073140132462
leukemia,635,314,4.9412427148937415
history,420,314,4.9412427148937415
nor,334,314,4.9412427148937415
cardiac,755,313,4.944422367811121
pulmonary,715,313,4.944422367811121
metabolism,459,313,4.944422367811121
received,440,313,4.944422367811121
stages,411,313,4.944422367811121
cloning,358,313,4.944422367811121
certain,330,313,4.944422367811121
class,632,312,4.947612163179221
embryonic,463,312,4.947612163179221
35,357,312,4.947612163179221
yet,318,312,4.947612163179221
monoclonal,424,311,4.950812165909892
injury,629,310,4.95402244154014
80,357,310,4.95402244154014
future,339,310,4.95402244154014
diagnostic,424,309,4.957243056240182
position,408,309,4.957243056240182
regulate,361,309,4.957243056240182
mainly,328,309,4.957243056240182
light,481,308,4.9604740768216296
standard,391,308,4.9604740768216296
implications,326,308,4.9604740768216296
indicates,325,308,4.9604740768216296
strain,521,307,4.9637155707458
application,401,307,4.9637155707458
bind,374,307,4.9637155707458
48,350,307,4.9637155707458
observations,320,307,4.9637155707458
basal,505,305,4.970230251766994
binds,366,305,4.970230251766994
female,437,304,4.973503577111963
26,355,304,4.973503577111963
unique,332,304,4.973503577111963
achieved,324,304,4.973503577111963
completely,323,304,4.973503577111963
leads,329,303,4.976787652313153
origin,380,302,4.980082548210005
good,347,302,4.980082548210005
secretion,644,301,4.983388336344505
apoptotic,505,301,4.983388336344505
doses,459,301,4.983388336344505
susceptibility,449,301,4.983388336344505
blot,363,301,4.983388336344505
alternative,364,300,4.986705088970499
remained,331,300,4.986705088970499
temperature,547,299,4.990032879063174
blocked,384,298,4.993371780328689
areas,382,297,4.99672186721397
according,322,297,4.99672186721397
candidate,399,296,5.000083214916675
partial,364,296,5.000083214916675
possibility,304,296,5.000083214916675
left,544,295,5.003455899395314
need,335,295,5.003455899395314
humans,365,294,5.006839997379554
polymorphism,575,293,5.010235586380693
tyrosine,565,293,5.010235586380693
prevalence,494,293,5.010235586380693
average,394,293,5.010235586380693
physiological,357,293,5.010235586380693
men,619,292,5.013642744702307
course,349,292,5.013642744702307
agent,348,292,5.013642744702307
31,341,291,5.017061551451093
rapidly,318,291,5.017061551451093
administered,353,290,5.020492086547882
later,323,290,5.020492086547882
means,311,290,5.020492086547882
secondary,380,289,5.023934430738855
literature,351,289,5.023934430738855
step,345,289,5.023934430738855
capacity,391,288,5.027388665606942
appeared,308,288,5.027388665606942
28,348,287,5.030854873583428
must,321,287,5.030854873583428
conducted,317,287,5.030854873583428
majority,312,287,5.030854873583428
bcl-2,1849,286,5.034333137959753
staining,451,286,5.034333137959753
32,334,286,5.034333137959753
conductance,466,285,5.037823542899522
nervous,383,285,5.037823542899522
local,416,284,5.041326173450724
inhibits,352,284,5.041326173450724
underwent,344,284,5.041326173450724
significance,317,284,5.041326173450724
cancers,445,283,5.044841115558168
37,355,283,5.044841115558168
sufficient,320,283,5.044841115558168
exposed,364,282,5.048368456076137
predicted,348,282,5.048368456076137
biochemical,348,282,5.048368456076137
thought,292,282,5.048368456076137
life,422,281,5.051908282781261
27,329,281,5.051908282781261
represent,290,281,5.051908282781261
cultures,461,280,5.055460684385628
year,376,280,5.055460684385628
developmental,368,280,5.055460684385628
molecule,361,280,5.055460684385628
downstream,339,280,5.055460684385628
highest,327,280,5.055460684385628
having,318,280,5.055460684385628
injection,431,279,5.059025750550124
formed,327,279,5.059025750550124
onset,381,278,5.062603571898009
defects,373,278,5.062603571898009
45,310,278,5.062603571898009
mortality,515,277,5.066194240028738
index,460,277,5.066194240028738
families,451,277,5.066194240028738
controlled,321,276,5.069797847532036
linked,310,276,5.069797847532036
cerevisiae,413,275,5.073414488002224
affinity,398,275,5.073414488002224
length,380,275,5.073414488002224
homologous,364,275,5.073414488002224
develop,300,275,5.073414488002224
regulating,300,275,5.073414488002224
investigation,293,275,5.073414488002224
neither,286,275,5.073414488002224
nucleus,467,274,5.077044256052803
transient,337,274,5.077044256052803
amount,325,274,5.077044256052803
36,306,274,5.077044256052803
underlying,301,274,5.077044256052803
vs,596,273,5.080687247331304
alleles,458,273,5.080687247331304
prevention,346,273,5.080687247331304
strategies,332,272,5.084343558534415
artery,560,271,5.088013287423377
content,406,271,5.088013287423377
produce,298,271,5.088013287423377
fluorescence,362,270,5.0916965328396735
abnormal,361,270,5.0916965328396735
marked,294,270,5.0916965328396735
western,314,269,5.0953933947209995
detectable,301,269,5.0953933947209995
characteristic,295,269,5.0953933947209995
markedly,284,269,5.0953933947209995
finding,278,269,5.0953933947209995
transgenic,603,268,5.0991039741175355
